Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Parsed Price,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
FERRARI,SF90 STRADALE,V8,3990 cc,963 hp,340 km/h,2.5 sec,"$1,100,000 ",plug in hyrbrid,2,800 Nm,1.0,FERRARI F8 SPIDER,ASTON MARTIN VALHALLA,FERRARI F8 TRIBUTO,Bugatti La Voiture Noire,ASTON MARTIN VANTAGE 
ROLLS ROYCE,PHANTOM,V12,6749 cc,563 hp,250 km/h,5.3 sec,"$460,000 ",Petrol,5,900 Nm,460.0,ROLLS ROYCE PHATOM ORCHID,ROLLS ROYCE PHATOM TRANQUILITY,ROLLS ROYCE PHANTOM EXTENDED,ROLLS ROYCE PHANTOM CELESTIAL,ROLLS ROYCE GHOST MYSORE
Ford,KA+,1.2L Petrol,"1,200 cc",70-85 hp,165 km/h,10.5 sec,"$12,000-$15,000",Petrol,5,100 - 140 Nm,12.0,Ford KA+,Ford Taurus,Ford Focus ST,Peugeot 208,Mazda 323F
MERCEDES, GT 63 S,V8,"3,982 cc",630 hp,250 km/h,3.2 sec,"$161,000 ",Petrol,4,900 Nm,161.0,BENTLEY Continental GT Azure,MERCEDES BENZ GLE 63 S,Porsche 911 Carrera GTS Lightweight,FERRARI PORTOFINO M,MERCEDES BENZ E-CLASS E 63 S
AUDI,AUDI R8 Gt,V10,"5,204 cc",602 hp,320 km/h,3.6 sec,"$253,290 ",Petrol,2,560 Nm,253.0,AUDI R8 V10 PLUS,LAMBORGHINI HURACAN EVO RWD,LAMBORGHINI HURACAN EVO,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN STO EVO
BMW,Mclaren 720s,V8,"3,994 cc",710 hp,341 km/h,2.9 sec,"$499,000 ",Petrol,2,770 Nm,499.0,FERRARI F8 SPIDER,FERRARI F8 TRIBUTO,LAMBORGHINI AVENTADOR S,BMW M8 GRAN COUPE,Nissan GT-R NISMO
ASTON MARTIN,VANTAGE F1,V8,"3,982 cc",656 hp,314 km/h,3.6 sec,"$193,440 ",Petrol,2,685 Nm,193.0,ASTON MARTIN VANTAGE ,ASTON MARTIN VANQUISH,LAMBORGHINI URUS ,BMW M550i XDRIVE,FERRARI F8 SPIDER
BENTLEY,Continental GT Azure,V8,"3,996 cc",550 hp,318 km/h,4.0 sec,"$311,000 ",Petrol,4,900 Nm,311.0,MERCEDES  GT 63 S,BMW M2 CS,BMW M850i DRIVE COUPE,Porsche Panamera Turbo Executive,Mitsubishi Town Box
LAMBORGHINI,VENENO ROADSTER,V12,"6,498 cc",750 hp,356 km/h,2.9 sec,"$4,500,000 ",Petrol,2,690 Nm,4.0,LAMBORGHINI AVENTADOR S,LAMBORGHINI AVENTADOR SVJ XAGO,LAMBORGHINI AVENTADOR ROADSTER,LAMBORGHINI AVENTADOR SVJ ROADSTER,LAMBORGHINI AVENTADOR SV
FERRARI,F8 TRIBUTO,V8,"3,900 cc",710 hp,340 km/h,2.9 sec,"$280,000 ",Petrol,2,770 Nm,280.0,FERRARI F8 SPIDER,BMW Mclaren 720s,FERRARI MONZA SP2,FERRARI 812 GTS,FERRARI SF90 STRADALE
FERRARI,812 GTS,V12,6496 cc,789 hp,340 km/h,2.9 sec,"$350,000 ",Petrol,2,718 Nm,350.0,FERRARI MONZA SP2,LAMBORGHINI AVENTADOR SVJ ROADSTER,LAMBORGHINI AVENTADOR S,LAMBORGHINI VENENO ROADSTER,FERRARI F8 TRIBUTO
FERRARI,PORTOFINO,V8,"3,900 cc",592 hp,320 km/h,3.2 sec,"$210,000 ",Petrol,2+2,760 Nm,210.0,FERRARI PORTOFINO M,FERRARI ROMA SPIDER,FERRARI ROMA,FERRARI F8 SPIDER,MERCEDES  GT 63 S
FERRARI,ROMA,V8,"3,900 cc",612 hp,320 km/h,3.4 sec,"$230,000 ",Petrol,2+2,760 Nm,230.0,FERRARI ROMA SPIDER,FERRARI PORTOFINO,FERRARI PORTOFINO M,FERRARI F8 TRIBUTO,MERCEDES BENZ E-CLASS E 63 S
FERRARI,MONZA SP2,V12,"6,496 cc",789 hp,340 km/h,2.9 sec,"$1,700,000 ",Petrol,2,719 Nm,1.0,FERRARI 812 GTS,LAMBORGHINI AVENTADOR SVJ ROADSTER,LAMBORGHINI AVENTADOR S,LAMBORGHINI VENENO ROADSTER,FERRARI F8 TRIBUTO
FERRARI,F8 SPIDER,V8,"3,900 cc",710 hp,340 km/h,2.9 sec,"$280,000 ",Petrol,2,770 Nm,280.0,FERRARI F8 TRIBUTO,BMW Mclaren 720s,FERRARI MONZA SP2,FERRARI 812 GTS,FERRARI SF90 STRADALE
FERRARI,PORTOFINO M,V8,"3,900 cc",612 hp,320 km/h,3.2 sec,"$220,000 ",Petrol,2+2,760 Nm,220.0,FERRARI PORTOFINO,FERRARI ROMA SPIDER,FERRARI ROMA,FERRARI F8 SPIDER,MERCEDES  GT 63 S
FERRARI,ROMA SPIDER,V8,"3,900 cc",612 hp,320 km/h,3.4 sec,"$240,000 ",Petrol,2+2,760 Nm,240.0,FERRARI ROMA,FERRARI PORTOFINO M,FERRARI PORTOFINO,FERRARI F8 TRIBUTO,FERRARI F8 SPIDER
TOYOTA,GR SUPRA,I4,"2,998 cc",382 hp,250 km/h,4.1 sec,"$53,900 ",Petrol,2,500 Nm,53.0,TOYOTA MR2,MERCEDES BENZ CLA 45 AMG,MERCEDES BENZ A-CLASS A 45 S,BMW M340i XDRIVE,TOYOTA YARIS
TOYOTA,TOYOTA 86,BOXER-4,"1,998 cc",205 hp,226 km/h,6.4 sec,"$27,000 ",Petrol,2+2,205 Nm,27.0,TOYOTA TOYOTA  GR86,Nissan Stanza Wagon,TOYOTA CENTURY SUV,TOYOTA TOYOTA SEQUOIA,TOYOTA GR COROLLA
TOYOTA,TOYOTA  GR86,BOXER-4,"2,387 cc",228 hp,226 km/h,5.6 sec,"$30,000 ",Petrol,4,250 Nm,30.0,Nissan Silvia S15 Spec-R,Volkswagen Beetle Final Edition,TOYOTA TOYOTA 86,Volkswagen T-Roc Cabriolet,Nissan Skyline GT-R R34
TOYOTA,TOYOTA LAND CRUISER,V8,"5,663 cc",381 hp,220 km/h,6.7 sec,"$85,000 ",Diesel,7,500 Nm,85.0,TOYOTA FORTUNER GR SPORT,TOYOTA COASTER,TOYOTA TOYOTA SEQUOIA,Ford Everest,TOYOTA TUNDRA
TOYOTA,TOYOTA SEQUOIA,V8,"5,663 cc",381 hp,200 km/h,6.9 sec,"$50,000 ",Petrol,7,651 Nm,50.0,Cadillac Escalade ESV,Cadillac XT6 Sport,TOYOTA MR2,TOYOTA ALPHARD EXECUTIVE LOUNGE,TOYOTA TUNDRA
NISSAN,GT-R,V6,"3,799 cc",600 hp,315 km/h,2.9 sec,"$113,000 ",Petrol,4,637 Nm,113.0,AUDI S5 COUPE,NISSAN 370Z,Porsche 911 Turbo Cabriolet,NISSAN FRONTIER,NISSAN PATHFINDER
NISSAN,370Z,V6,"3,696 cc",332 hp,250 km/h,4.7 sec,"$30,000 ",Petrol,2,366 Nm,30.0,NISSAN Z PROTO,MERCEDES BENZ C-CLASS C 43,MERCEDES BENZ GLC 43,NISSAN GT-R,AUDI S4 SEDAN
NISSAN,Z PROTO,V6,"2,998 cc",400 hp,290 km/h,4.1 sec,"$40,000 ",Petrol,2,475 Nm,40.0,NISSAN 370Z,Nissan Z (Fairlady Z),NISSAN GT-R,Nissan Fairlady Z Heritage,NISSAN PATHFINDER
NISSAN,ALTIMA,I4,"2,488 cc",188 hp,225 km/h,7.3 sec,"$25,000 ",Petrol,5,380 Nm,25.0,NISSAN SENTRA,NISSAN ROGUE,AUDI Q3,BMW 128ti,NISSAN FRONTIER
NISSAN,MAXIMA,V6,"3,498 cc",300 hp,240 km/h,5.8 sec,"$35,000 ",Petrol,5,354 Nm,35.0,NISSAN FRONTIER,MERCEDES BENZ E-CLASS E 450 ,Acura TLX A-Spec,NISSAN SENTRA,NISSAN ROGUE
NISSAN,SENTRA,I4,"1,998 cc",149 hp,200 km/h,8.2 sec,"$20,000 ",Petrol,5,240 Nm,20.0,NISSAN ROGUE,KIA SPORTAGE 2024(S TRIM),NISSAN ALTIMA,HONDA CIVIC TYPE R,AUDI S3 SEDAN
NISSAN,ROGUE,I4,"2,488 cc",201 hp,200 km/h,7.5 sec,"$28,000 ",Petrol,5,270 Nm,28.0,NISSAN ALTIMA,NISSAN SENTRA,KIA SPORTAGE 2024(TOP TRIM),KIA SPORTAGE SX TURBO,AUDI Q3
NISSAN,PATHFINDER,V6,"3,498 cc",284 hp,225 km/h,6.5 sec,"$35,000 ",Petrol,7,351 Nm,35.0,Nissan Pathfinder Rock Creek,Nissan Patrol NISMO,GMC Acadia Denali Ultimate,Nissan Patrol Black Edition,GMC Acadia Denali
NISSAN,FRONTIER,V6,"3,799 cc",310 hp,180 km/h,6.8 sec,"$30,000 ",Petrol,5,381 Nm,30.0,NISSAN MAXIMA,NISSAN TITAN,MERCEDES BENZ GLC 43,NISSAN Z PROTO,NISSAN ALTIMA
NISSAN,TITAN,V8,"5,598 cc",400 hp,200 km/h,5.9 sec,"$40,000 ",Petrol,5,560 Nm,40.0,NISSAN ALTIMA,TOYOTA TUNDRA,BMW M8 GRAN COUPE,AUDI S7 SPORTBACK,NISSAN FRONTIER
ASTON MARTIN,VALKYRIE,V12,"6,496 cc",1160 hp,402 km/h,2.5 sec,"$3,200,000 ",Hybrid,2,900 Nm,3.0,ASTON MARTIN DBS SUPERLEGGERA,ASTON MARTIN VALHALLA,ASTON MARTIN VANQUISH,ASTON MARTIN VICTOR,LAMBORGHINI SIAN
ASTON MARTIN,VALHALLA,V8,"3,996 cc",1000 hp,362 km/h,2.5 sec,"$1,100,000 ",Hybrid,2,1000 Nm,1.0,ASTON MARTIN VALKYRIE,FERRARI SF90 STRADALE,ASTON MARTIN VANTAGE ,ASTON MARTIN VANTAGE F1,Bugatti Chiron
ASTON MARTIN,DBS SUPERLEGGERA,V12,"5,204 cc",715 hp,340 km/h,3.4 sec,"$316,000 ",Petrol,2,900 Nm,316.0,ASTON MARTIN VANQUISH,ASTON MARTIN VALKYRIE,ASTON MARTIN VICTOR,ROLLS ROYCE PHANTOM CELESTIAL,Porsche 911 GT4 RS
ASTON MARTIN,DB11,V12,"5,204 cc",600 hp,322 km/h,3.9 sec,"$208,000 ",Petrol,4,700 Nm,208.0,ASTON MARTIN RAPIDE AMR,ASTON MARTIN LAGONDA TARAF,ROLLS ROYCE DAWN BLACK BADGE VOLANTE,ROLLS ROYCE DAWN,ROLLS ROYCE GHOST COUPE
ASTON MARTIN,VANTAGE ,V8,"3,996 cc",503 hp,313 km/h,3.6 sec,"$142,000 ",Petrol,2,685 Nm,142.0,ASTON MARTIN VANTAGE F1,ASTON MARTIN VANQUISH,LAMBORGHINI URUS ,AUDI RS7 SPORTBACK,ASTON MARTIN VALHALLA
ASTON MARTIN,DBX,V8,"3,996 cc",542 hp,291 km/h,4.5 sec,"$189,000 ",Petrol,5,700 Nm,189.0,MERCEDES BENZ S-CLASS S 580,MERCEDES BENZ GT 53,MERCEDES BENZ E-CLASS E 63 S,ASTON MARTIN DB11,AUDI S8
ASTON MARTIN,RAPIDE AMR,V12,"5,935 cc",580 hp,328 km/h,4.2 sec,"$240,000 ",Petrol,4,630 Nm,240.0,ASTON MARTIN LAGONDA TARAF,ASTON MARTIN DB11,ASTON MARTIN VANQUISH,ROLLS ROYCE DAWN BLACK BADGE VOLANTE,ROLLS ROYCE DAWN BLACK BADGE
ASTON MARTIN,VANQUISH,V12,"5,935 cc",580 hp,324 km/h,3.6 sec,"$294,000 ",Petrol,2,630 Nm,294.0,ASTON MARTIN DBS SUPERLEGGERA,ASTON MARTIN VANTAGE F1,ASTON MARTIN VANTAGE ,ASTON MARTIN RAPIDE AMR,ASTON MARTIN LAGONDA TARAF
ASTON MARTIN,LAGONDA TARAF,V12,"5,935 cc",540 hp,314 km/h,4.2 sec,"$1,100,000 ",Petrol,4,630 Nm,1.0,ASTON MARTIN RAPIDE AMR,ASTON MARTIN DB11,ASTON MARTIN VANQUISH,ROLLS ROYCE DAWN BLACK BADGE VOLANTE,ROLLS ROYCE DAWN BLACK BADGE
ASTON MARTIN,VICTOR,V12,"5,204 cc",836 hp,320 km/h,2.8 sec,"$1,300,000 ",Petrol,2,821 Nm,1.0,LAMBORGHINI AVENTADOR ULTIMAE,ASTON MARTIN DBS SUPERLEGGERA,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER,LAMBORGHINI AVENTADOR SV
LAMBORGHINI,SIAN,V12,"6,498 cc",819 hp,350 km/h,2.8 sec,"$2,800,000 ",Hybrid,2,720 Nm,2.0,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER,LAMBORGHINI AVENTADOR ULTIMAE,LAMBORGHINI AVENTADOR SVJ,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI AVENTADOR SVJ XAGO
LAMBORGHINI,AVENTADOR SVJ,V12,"6,498 cc",759 hp,350 km/h,2.8 sec,"$518,000 ",Petrol,2,720 Nm,518.0,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER,LAMBORGHINI AVENTADOR ULTIMAE,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI AVENTADOR SVJ XAGO,LAMBORGHINI SIAN
LAMBORGHINI,HURACAN PERFORMANTE,V10,"5,204 cc",640 hp,325 km/h,2.9 sec,"$274,000 ",Petrol,2,600 Nm,274.0,LAMBORGHINI HURACAN EVO,LAMBORGHINI HURACAN EVO SPYDER,LAMBORGHINI HURACAN SPYDER,LAMBORGHINI HURACAN EVO RWD SPYDER,LAMBORGHINI HURACAN  PERFORMANTE SPYDER
LAMBORGHINI,HURACAN EVO,V10,"5,204 cc",640 hp,325 km/h,2.9 sec,"$261,000 ",Petrol,2,600 Nm,261.0,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN SPYDER,LAMBORGHINI HURACAN  PERFORMANTE SPYDER,LAMBORGHINI HURACAN EVO SPYDER,LAMBORGHINI HURACAN EVO RWD SPYDER
LAMBORGHINI,AVENTADOR SV,V12,"6,498 cc",740 hp,350 km/h,2.8 sec,"$493,000 ",Petrol,2,690 Nm,493.0,LAMBORGHINI AVENTADOR SVJ,LAMBORGHINI AVENTADOR ULTIMAE,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE,LAMBORGHINI VENENO ROADSTER,LAMBORGHINI AVENTADOR LP 780-4 ULTIMATE ROADSTER
LAMBORGHINI,URUS ,V8,"3,996 cc",641 hp,305 km/h,3.6 sec,"$211,000 ",Petrol,5,850 Nm,211.0,LAMBORGHINI URUS S,LAMBORGHINI URUS PERFORMANTE,LAMBORGHINI URUS GRAPHITE CAPSULE,BMW M550i XDRIVE,MERCEDES BENZ E-CLASS E 63 S
LAMBORGHINI,HURACAN SPYDER,V10,"5,204 cc",610 hp,325 km/h,3.4 sec,"$287,000 ",Petrol,2,600 Nm,287.0,LAMBORGHINI HURACAN EVO SPYDER,LAMBORGHINI HURACAN  PERFORMANTE SPYDER,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN EVO,LAMBORGHINI HURACAN EVO RWD SPYDER
LAMBORGHINI,AVENTADOR ROADSTER,V12,"6,498 cc",700 hp,350 km/h,3.0 sec,"$445,000 ",Petrol,2,690 Nm,445.0,LAMBORGHINI AVENTADOR S,LAMBORGHINI AVENTADOR SV,LAMBORGHINI VENENO ROADSTER,LAMBORGHINI AVENTADOR SVJ,LAMBORGHINI HURACAN STO
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,"5,204 cc",640 hp,325 km/h,3.1 sec,"$308,000 ",Petrol,2,600 Nm,308.0,LAMBORGHINI HURACAN EVO SPYDER,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN EVO,LAMBORGHINI HURACAN EVO RWD SPYDER,LAMBORGHINI HURACAN SPYDER
LAMBORGHINI,AVENTADOR S,V12,"6,498 cc",740 hp,350 km/h,2.9 sec,"$421,000 ",Petrol,2,690 Nm,421.0,LAMBORGHINI VENENO ROADSTER,LAMBORGHINI AVENTADOR SV,LAMBORGHINI AVENTADOR SVJ ROADSTER,LAMBORGHINI AVENTADOR ROADSTER,LAMBORGHINI AVENTADOR SVJ XAGO
LAMBORGHINI,HURACAN EVO SPYDER,V10,"5,204 cc",640 hp,325 km/h,3.1 sec,"$287,000 ",Petrol,2,600 Nm,287.0,LAMBORGHINI HURACAN  PERFORMANTE SPYDER,LAMBORGHINI HURACAN PERFORMANTE,LAMBORGHINI HURACAN EVO,LAMBORGHINI HURACAN EVO RWD SPYDER,LAMBORGHINI HURACAN SPYDER
